	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_78710_9.txt	78710	9	22.83776	19.74106	23.65805	26.8177	22.49884	25.07683	22.99333	24.03366	21.73358	24.76045	22.04055	30.66118	17.02411	24.19121	19.87427	28.22222	22.89025	30.29734	25.49474	27.57436	25.63751	19.62679	29.18709	18.21894	17.54495	25.02029	21.30987	30.38939	26.98377	17.87472
alpha_rarefaction_118060_0.txt	118060	0	23.76791	21.73877	24.54698	29.01734	23.64865	25.77034	24.51183	25.67072	22.85029	25.3881	23.29331	31.6207	17.94912	25.64097	21.05741	29.18794	24.75634	31.67932	28.10568	28.33712	26.67001	21.27438	30.61066	19.86485	18.8549	26.73372	20.78688	32.80875	26.06405	18.80375
alpha_rarefaction_118060_1.txt	118060	1	24.21993	21.80023	24.73227	27.64388	23.46389	25.88949	24.70289	24.56867	22.87001	26.45642	23.22471	32.02621	17.25341	25.58634	20.63849	29.1147	24.53643	31.4188	26.95503	28.81211	27.43081	20.61843	29.83389	19.91087	18.16796	26.70535	21.76145	32.68007	27.48486	19.63798
alpha_rarefaction_118060_2.txt	118060	2	23.37551	21.46661	24.51607	27.67783	23.98677	25.28793	23.86646	25.36729	24.13244	25.95753	22.21371	31.69108	16.48022	25.02901	20.94437	28.78806	24.89521	31.40884	27.55089	28.00626	26.5174	20.50112	30.0562	20.10504	19.90741	26.23764	20.87241	32.32162	27.9747	18.72757
alpha_rarefaction_118060_3.txt	118060	3	23.96305	21.90497	25.29323	27.73715	24.01652	26.05789	24.61752	24.62399	23.15996	26.30721	22.66176	31.7425	17.38726	25.58599	21.93843	28.46021	24.10923	30.9368	27.57336	27.9543	26.98192	20.81137	29.45734	20.83435	18.31545	26.53008	21.50606	32.78409	27.87549	18.94161
alpha_rarefaction_118060_4.txt	118060	4	24.3898	21.82948	25.0631	28.84422	23.48179	25.88981	24.39953	25.27455	22.76132	26.85035	22.67376	31.27344	17.27693	24.38466	21.39553	29.24005	25.03825	30.67598	26.9906	28.41848	27.02506	20.95438	29.32199	19.58725	18.9038	26.80989	21.33876	32.48511	27.27776	18.34874
alpha_rarefaction_118060_5.txt	118060	5	23.05082	21.00233	24.95122	27.73257	23.9407	25.98758	24.30748	25.36542	22.83706	26.37012	22.16991	32.27683	18.24966	25.51842	20.34239	28.64521	24.44415	31.06737	27.93077	28.39968	26.57177	20.70246	30.41637	19.67278	18.49843	26.89759	21.43264	32.36326	28.01772	19.49844
alpha_rarefaction_118060_6.txt	118060	6	24.26534	21.7152	24.36499	28.06424	24.09726	25.1752	24.70162	26.1186	22.28693	25.51281	23.1246	31.27806	17.15926	24.40818	20.13113	29.0958	24.26718	31.06286	28.14558	28.36472	26.26297	20.90547	29.50252	20.41301	18.23866	26.95944	22.02166	31.82604	27.64198	19.57371
alpha_rarefaction_118060_7.txt	118060	7	24.53707	22.02087	25.47263	28.57299	23.78005	26.29572	25.20523	24.9938	22.73136	25.39472	22.13706	31.68843	17.77253	25.69486	20.93559	28.59259	24.75862	31.64921	27.07666	28.66212	27.55347	20.43835	29.39403	20.31971	19.19615	26.57264	21.74485	32.35947	27.76147	18.94489
alpha_rarefaction_118060_8.txt	118060	8	23.68329	21.20592	24.37331	28.32338	24.61084	26.04129	25.41756	25.14797	22.70583	25.56279	22.91029	32.16474	17.42722	25.84311	20.95583	28.4107	23.3437	30.56829	28.15279	29.19509	27.51569	19.99086	29.79848	20.38539	18.40443	26.1526	21.88903	32.85284	27.81193	18.91896
