	sequences per sample	iteration	FN33	FN47	FN46	FN55	FN57	FN32	FN31	FN34	FN36	FN37	FN39	FN59	FN35	FN51	FN50	FN48	FN42	FN41	FN40	FN44	FN43	FN38	FN45	FN49	FN53	FN56	FN54	FN52	FN58	FN60
alpha_rarefaction_157410_1.txt	157410	1	486.264150943	419.517241379	432.727272727	588.533333333	450.777777778	505.486486486	523.75	465.459459459	440.65625	491.317073171	466.0	614.733333333	346.869565217	539.076923077	345.0	585.216216216	434.833333333	579.608695652	543.028571429	538.032258065	472.875	390.12	566.216216216	367.4	405.526315789	504.032258065	431.0	596.022222222	495.285714286	343.772727273
alpha_rarefaction_157410_2.txt	157410	2	500.052631579	426.037037037	444.87804878	617.085714286	478.525	515.972972973	505.9	484.285714286	450.935483871	543.583333333	466.0	594.25	349.772727273	487.71875	396.5	514.418604651	452.263157895	568.553191489	504.5	588.037037037	526.058823529	370.217391304	553.487179487	340.24137931	454.1875	502.634146341	392.317073171	681.170731707	486.923076923	333.333333333
alpha_rarefaction_157410_3.txt	157410	3	457.12244898	440.5	437.162162162	564.65	473.181818182	521.0	528.689655172	466.65625	428.525	560.947368421	515.043478261	647.717948718	375.0	433.196078431	359.032258065	528.0	438.692307692	569.466666667	534.277777778	602.434782609	504.7	351.451612903	556.823529412	389.3125	359.416666667	485.775	441.275862069	616.217391304	500.724137931	346.5
alpha_rarefaction_157410_4.txt	157410	4	482.133333333	400.193548387	462.028571429	533.2	467.3125	579.517241379	486.625	509.6	458.896551724	508.382978723	445.026315789	580.272727273	358.565217391	472.9	371.64	536.2	431.837837838	613.0	520.666666667	518.487179487	505.027027027	379.033333333	559.692307692	404.285714286	376.956521739	539.125	392.352941176	654.319148936	442.657894737	344.136363636
alpha_rarefaction_157410_5.txt	157410	5	471.263157895	408.486486486	433.022222222	605.027777778	476.25	528.0	489.206896552	520.037037037	420.394736842	556.527777778	464.428571429	594.153846154	337.111111111	489.636363636	357.03125	612.076923077	431.487179487	600.3125	550.676470588	526.142857143	496.285714286	371.222222222	553.571428571	364.527777778	396.5	518.0	496.64	598.076923077	528.125	338.8
alpha_rarefaction_157410_6.txt	157410	6	531.957446809	384.529411765	445.0	537.23255814	449.052631579	523.181818182	505.046511628	468.033333333	426.632653061	556.25	467.2	627.277777778	331.230769231	475.027777778	325.387096774	554.277777778	451.219512195	582.025	530.046511628	612.5	505.638297872	351.692307692	640.666666667	369.926829268	328.444444444	518.263157895	396.857142857	637.488372093	506.609756098	306.476190476
alpha_rarefaction_157410_7.txt	157410	7	503.857142857	401.454545455	441.534883721	529.234042553	487.620689655	499.571428571	488.783783784	441.243243243	454.277777778	524.384615385	466.176470588	662.333333333	322.2	449.8	347.090909091	564.0	450.886363636	622.571428571	490.076923077	526.25	479.6	348.885714286	550.675675676	357.12195122	414.055555556	552.323529412	449.216216216	626.066666667	473.5	303.5
alpha_rarefaction_157410_8.txt	157410	8	468.936170213	399.0	506.0	569.021276596	493.870967742	557.387096774	492.171428571	482.1	443.97826087	570.052631579	494.285714286	605.12244898	348.75	456.352941176	366.6	511.325	456.923076923	574.12244898	538.081081081	532.157894737	488.176470588	374.0	600.137931034	370.777777778	374.333333333	544.428571429	379.875	633.428571429	545.12	346.5
alpha_rarefaction_157410_9.txt	157410	9	487.818181818	416.090909091	404.254237288	552.053571429	514.34375	532.571428571	453.046511628	472.0	439.0	526.5	495.884615385	592.0	349.0	450.285714286	390.260869565	526.317073171	439.25	579.145833333	545.571428571	614.12	495.567567568	371.875	573.277777778	398.0	376.391304348	532.24137931	408.028571429	608.666666667	546.757575758	331.526315789
alpha_rarefaction_196760_0.txt	196760	0	517.02173913	408.25	449.375	580.512195122	511.162162162	521.666666667	500.783783784	479.166666667	449.682926829	604.363636364	491.833333333	644.416666667	346.230769231	516.024390244	375.193548387	545.458333333	453.222222222	645.692307692	536.076923077	574.3125	504.95	383.111111111	601.303030303	355.609756098	388.076923077	517.285714286	432.157894737	667.326086957	495.323529412	332.034482759
alpha_rarefaction_196760_1.txt	196760	1	580.45	411.028571429	460.0	575.166666667	482.096774194	534.285714286	511.238095238	509.7	421.783783784	555.166666667	461.25	609.447368421	337.954545455	518.073170732	435.181818182	565.0	455.071428571	632.222222222	565.972972973	574.090909091	531.65625	346.75	591.029411765	374.823529412	384.5	515.317073171	433.2	598.232142857	513.333333333	414.652173913
alpha_rarefaction_196760_2.txt	196760	2	517.538461538	432.567567568	492.153846154	543.255319149	489.64	555.363636364	521.538461538	493.333333333	427.736842105	552.666666667	488.0	613.8	371.964285714	484.166666667	398.038461538	555.341463415	455.0	631.133333333	569.486486486	544.0	503.6	366.487179487	601.5	385.736842105	369.0	511.833333333	471.41025641	642.566037736	512.184210526	336.956521739
alpha_rarefaction_196760_3.txt	196760	3	506.166666667	418.0	474.363636364	648.181818182	477.277777778	510.923076923	469.263157895	463.076923077	455.294117647	592.903225806	496.37037037	617.923076923	357.033333333	488.875	432.28125	540.071428571	449.487179487	615.075	577.527777778	588.25	506.947368421	343.916666667	579.926829268	386.03125	471.9375	617.6875	445.636363636	659.651162791	502.108108108	350.391304348
alpha_rarefaction_196760_4.txt	196760	4	493.0	439.217391304	433.317073171	580.12244898	475.583333333	545.0	506.219512195	526.666666667	438.166666667	546.0	470.0	614.163265306	334.260869565	477.238095238	391.7	544.216216216	464.171428571	594.1875	541.15	529.666666667	517.166666667	358.28125	598.5	355.136363636	380.384615385	538.0	413.914893617	689.634146341	505.527777778	353.25
alpha_rarefaction_196760_5.txt	196760	5	475.893617021	388.692307692	454.028571429	602.5	486.0	565.8	498.486486486	496.567567568	457.222222222	533.270833333	467.0	623.029411765	381.055555556	481.441860465	339.285714286	566.026315789	463.583333333	568.068965517	565.25	552.454545455	527.903225806	390.206896552	574.03125	384.303030303	383.619047619	530.756756757	422.02173913	679.571428571	501.157894737	333.46875
