Taxon	1	2	3	4	5	6
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae	8.10325232592e-06	3.44733081793e-06	2.57509918206e-05	3.70820652591e-06	1.0234396195e-05	8.32668048556e-06
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae	0.000640271064062	0.000337148953994	0.00275796382018	0.000185410326296	0.000579501712416	0.00130728883623
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae	1.1413031445e-07	0.000434018949978	3.2596192178e-07	0.0	8.38884934012e-07	5.09796764422e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	0.0	0.0	3.2596192178e-07	0.0	1.67776986802e-07	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae	0.000158983528028	4.34363683059e-05	8.86616427242e-05	2.80764208391e-05	2.33210011655e-05	6.42343923172e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	4.56521257798e-07	3.44733081793e-07	1.40163626365e-05	3.1784627365e-06	6.7110794721e-07	8.49661274036e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.00962266920219	0.00402820606075	0.00493636734344	0.00368330856781	0.0405839108916	0.00656108435811
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;Other	8.10325232592e-06	6.20519547228e-06	0.0	0.000261163688182	1.34221589442e-06	1.69932254807e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	5.47825509358e-06	6.89466163586e-07	3.03144587256e-05	9.53538820949e-06	2.3824332126e-05	2.20911931249e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	9.13042515596e-07	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	1.94021534564e-06	6.89466163586e-07	3.91154306136e-06	0.0	0.0	1.69932254807e-06
k__Bacteria;p__SR1;c__;o__;f__	0.0013451398861	0.000301641446569	0.00910639820877	4.07902717851e-05	0.0114735970195	0.0359258877856
k__Bacteria;p__Spirochaetes;Other;Other;Other	0.0	0.0	1.30384768712e-06	0.0	6.7110794721e-07	5.09796764422e-07
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales;f__Sphaerochaetaceae	1.03858586149e-05	4.79178983692e-05	7.13856608699e-05	5.03256599945e-05	7.71774139291e-06	0.000121841426697
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae	0.000459945167232	0.000423676957524	0.00605800231629	0.0027827441258	0.00168213206968	0.00144697314968
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae	0.000168342213813	0.000113761916992	0.000441026480169	7.62831056759e-05	5.93930533281e-05	6.81428341777e-05
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	0.0	6.89466163586e-07	1.10827053405e-05	0.0	4.02664768326e-06	1.52939029327e-06
k__Bacteria;p__TM7;c__TM7-3;o__;f__	0.00990616890328	0.00137962179334	0.010876371444	0.0146410588519	0.00333574205161	0.00738389633589
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__	4.22282163463e-06	1.62024548443e-05	1.30384768712e-06	2.11897515766e-06	3.77498220306e-05	1.59736319519e-05
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16	4.45108226353e-06	5.1709962269e-06	0.000106589548422	1.53625698931e-05	9.22773427414e-06	8.32668048556e-05
k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045	0.000197901965256	0.000192361059641	0.000657139234309	0.000775544907705	0.000793752924563	0.000218023082918
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae	0.0	6.89466163586e-07	3.2596192178e-07	0.0	3.35553973605e-07	1.35945803846e-06
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae	0.00040219522812	0.000247518352727	0.0010222165867	0.00340042538426	0.00123349640697	0.000488555232571
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	8.10325232592e-06	2.75786465434e-06	0.000221002182967	1.43030823142e-05	0.000322970699595	0.000152939029327
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__	1.18695527028e-05	9.30779320841e-06	0.000178301171214	1.74815450507e-05	3.07031885849e-05	3.22871284134e-05
