Taxon	F	M
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	1.37447654779e-07	4.71970809927e-08
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae	0.000205759139204	4.07782779777e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	2.74895309558e-07	2.87902194055e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.00854044747733	0.0158799770679
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;Other	9.48388817974e-06	2.46368762782e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	4.39832495292e-06	1.34039710019e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	2.74895309558e-07	2.83182485956e-07
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.0	1.9350803207e-06
k__Bacteria;p__SR1;c__;o__;f__	0.00138258595942	0.0146506818963
k__Bacteria;p__Spirochaetes;Other;Other;Other	0.0	5.1916789092e-07
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Sphaerochaetales;f__Sphaerochaetaceae	7.42217335805e-06	5.91379424838e-05
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae	0.000901519167694	0.0019388088901
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae	8.86537373323e-05	0.000161036440347
k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	2.88640075035e-06	2.26545988765e-06
k__Bacteria;p__TM7;c__TM7-3;o__;f__	0.00751632500158	0.00757291323652
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__	2.79018739201e-05	9.81699284648e-06
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16	8.93409756062e-06	4.20054020835e-05
k__Bacteria;p__TM7;c__TM7-3;o__I025;f__Rs-045	0.000741804992841	0.000301542150462
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae	0.0	6.13562052905e-07
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae	0.000321490064528	0.00102346870133
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	1.20953936205e-05	0.000166180922175
k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28;f__	7.1472780485e-06	4.87073875845e-05
